"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","mpnet-base","mpnet","base",0.995,10,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-base","mpnet","base",0.995,10,3,0.699,0.305,0.425,0.27,409
"10_9","mpnet-base","mpnet","base",0.995,10,4,0.684,0.407,0.51,0.342,557
"10_9","mpnet-base","mpnet","base",0.995,15,1,0.687,0.406,0.51,0.342,553
"10_9","mpnet-base","mpnet","base",0.995,15,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-base","mpnet","base",0.995,15,3,0.702,0.317,0.437,0.279,423
"10_9","mpnet-base","mpnet","base",0.995,15,4,0.684,0.407,0.51,0.342,557
"10_9","mpnet-base","mpnet","base",0.995,20,1,0.687,0.408,0.512,0.344,556
"10_9","mpnet-base","mpnet","base",0.995,20,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-base","mpnet","base",0.995,20,3,0.703,0.326,0.445,0.286,434
"10_9","mpnet-base","mpnet","base",0.995,20,4,0.684,0.409,0.512,0.344,560
"10_9","mpnet-base","mpnet","base",0.995,25,1,0.688,0.409,0.513,0.345,557
"10_9","mpnet-base","mpnet","base",0.995,25,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-base","mpnet","base",0.995,25,3,0.705,0.331,0.45,0.291,440
"10_9","mpnet-base","mpnet","base",0.995,25,4,0.684,0.41,0.513,0.345,561
"10_9","mpnet-base","mpnet","base",0.995,30,1,0.688,0.409,0.513,0.345,557
"10_9","mpnet-base","mpnet","base",0.995,30,2,0.818,0.297,0.436,0.278,340
"10_9","mpnet-base","mpnet","base",0.995,30,3,0.703,0.334,0.453,0.293,445
"10_9","mpnet-base","mpnet","base",0.995,30,4,0.684,0.41,0.513,0.345,561
"10_9","mpnet-base","mpnet","base",0.999,3,1,0.692,0.394,0.502,0.335,533
"10_9","mpnet-base","mpnet","base",0.999,3,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,3,3,0.688,0.254,0.371,0.228,346
"10_9","mpnet-base","mpnet","base",0.999,3,4,0.692,0.394,0.502,0.335,533
"10_9","mpnet-base","mpnet","base",0.999,5,1,0.689,0.402,0.508,0.341,547
"10_9","mpnet-base","mpnet","base",0.999,5,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,5,3,0.695,0.28,0.399,0.249,377
"10_9","mpnet-base","mpnet","base",0.999,5,4,0.689,0.402,0.508,0.341,547
"10_9","mpnet-base","mpnet","base",0.999,10,1,0.687,0.404,0.509,0.341,552
"10_9","mpnet-base","mpnet","base",0.999,10,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,10,3,0.704,0.304,0.425,0.27,405
"10_9","mpnet-base","mpnet","base",0.999,10,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-base","mpnet","base",0.999,15,1,0.687,0.404,0.509,0.341,552
"10_9","mpnet-base","mpnet","base",0.999,15,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,15,3,0.706,0.316,0.437,0.279,419
"10_9","mpnet-base","mpnet","base",0.999,15,4,0.687,0.404,0.509,0.341,552
"10_9","mpnet-base","mpnet","base",0.999,20,1,0.686,0.407,0.511,0.343,555
"10_9","mpnet-base","mpnet","base",0.999,20,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,20,3,0.707,0.324,0.444,0.286,430
"10_9","mpnet-base","mpnet","base",0.999,20,4,0.686,0.407,0.511,0.343,555
"10_9","mpnet-base","mpnet","base",0.999,25,1,0.687,0.408,0.512,0.344,556
"10_9","mpnet-base","mpnet","base",0.999,25,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,25,3,0.709,0.33,0.45,0.29,436
"10_9","mpnet-base","mpnet","base",0.999,25,4,0.687,0.408,0.512,0.344,556
"10_9","mpnet-base","mpnet","base",0.999,30,1,0.687,0.408,0.512,0.344,556
"10_9","mpnet-base","mpnet","base",0.999,30,2,0.823,0.293,0.432,0.276,334
"10_9","mpnet-base","mpnet","base",0.999,30,3,0.707,0.333,0.453,0.293,441
"10_9","mpnet-base","mpnet","base",0.999,30,4,0.687,0.408,0.512,0.344,556
"8_9","mpnet-base","mpnet","base",0.95,3,1,0.616,0.804,0.698,0.535,432
"8_9","mpnet-base","mpnet","base",0.95,3,2,0.69,0.74,0.714,0.556,355
"8_9","mpnet-base","mpnet","base",0.95,3,3,0.776,0.701,0.737,0.583,299
"8_9","mpnet-base","mpnet","base",0.95,3,4,0.616,0.81,0.7,0.538,435
"8_9","mpnet-base","mpnet","base",0.95,5,1,0.614,0.804,0.696,0.534,433
"8_9","mpnet-base","mpnet","base",0.95,5,2,0.686,0.74,0.712,0.553,357
"8_9","mpnet-base","mpnet","base",0.95,5,3,0.767,0.716,0.741,0.588,309
"8_9","mpnet-base","mpnet","base",0.95,5,4,0.612,0.81,0.697,0.535,438
"8_9","mpnet-base","mpnet","base",0.95,10,1,0.61,0.804,0.694,0.531,436
"8_9","mpnet-base","mpnet","base",0.95,10,2,0.677,0.74,0.707,0.547,362
"8_9","mpnet-base","mpnet","base",0.95,10,3,0.746,0.728,0.737,0.584,323
"8_9","mpnet-base","mpnet","base",0.95,10,4,0.601,0.81,0.69,0.527,446
"8_9","mpnet-base","mpnet","base",0.95,15,1,0.609,0.804,0.693,0.53,437
"8_9","mpnet-base","mpnet","base",0.95,15,2,0.676,0.749,0.711,0.551,367
"8_9","mpnet-base","mpnet","base",0.95,15,3,0.737,0.737,0.737,0.584,331
"8_9","mpnet-base","mpnet","base",0.95,15,4,0.6,0.819,0.693,0.529,452
"8_9","mpnet-base","mpnet","base",0.95,20,1,0.609,0.804,0.693,0.53,437
"8_9","mpnet-base","mpnet","base",0.95,20,2,0.67,0.749,0.707,0.547,370
"8_9","mpnet-base","mpnet","base",0.95,20,3,0.731,0.74,0.735,0.582,335
"8_9","mpnet-base","mpnet","base",0.95,20,4,0.596,0.819,0.69,0.526,455
"8_9","mpnet-base","mpnet","base",0.95,25,1,0.609,0.804,0.693,0.53,437
"8_9","mpnet-base","mpnet","base",0.95,25,2,0.665,0.749,0.705,0.544,373
"8_9","mpnet-base","mpnet","base",0.95,25,3,0.721,0.74,0.73,0.575,340
"8_9","mpnet-base","mpnet","base",0.95,25,4,0.592,0.819,0.687,0.523,458
"8_9","mpnet-base","mpnet","base",0.95,30,1,0.609,0.804,0.693,0.53,437
"8_9","mpnet-base","mpnet","base",0.95,30,2,0.661,0.749,0.702,0.541,375
"8_9","mpnet-base","mpnet","base",0.95,30,3,0.716,0.74,0.728,0.572,342
"8_9","mpnet-base","mpnet","base",0.95,30,4,0.589,0.819,0.685,0.521,460
"8_9","mpnet-base","mpnet","base",0.99,3,1,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.99,3,2,0.698,0.713,0.705,0.545,338
"8_9","mpnet-base","mpnet","base",0.99,3,3,0.776,0.692,0.732,0.577,295
"8_9","mpnet-base","mpnet","base",0.99,3,4,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.99,5,1,0.621,0.801,0.7,0.538,427
"8_9","mpnet-base","mpnet","base",0.99,5,2,0.696,0.713,0.704,0.544,339
"8_9","mpnet-base","mpnet","base",0.99,5,3,0.77,0.707,0.737,0.584,304
"8_9","mpnet-base","mpnet","base",0.99,5,4,0.619,0.801,0.698,0.536,428
"8_9","mpnet-base","mpnet","base",0.99,10,1,0.616,0.801,0.696,0.534,430
"8_9","mpnet-base","mpnet","base",0.99,10,2,0.692,0.713,0.702,0.541,341
"8_9","mpnet-base","mpnet","base",0.99,10,3,0.756,0.719,0.737,0.583,315
"8_9","mpnet-base","mpnet","base",0.99,10,4,0.612,0.801,0.694,0.531,433
"8_9","mpnet-base","mpnet","base",0.99,15,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.99,15,2,0.692,0.713,0.702,0.541,341
"8_9","mpnet-base","mpnet","base",0.99,15,3,0.748,0.719,0.733,0.579,318
"8_9","mpnet-base","mpnet","base",0.99,15,4,0.611,0.801,0.693,0.53,434
"8_9","mpnet-base","mpnet","base",0.99,20,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.99,20,2,0.69,0.713,0.701,0.54,342
"8_9","mpnet-base","mpnet","base",0.99,20,3,0.747,0.722,0.734,0.58,320
"8_9","mpnet-base","mpnet","base",0.99,20,4,0.609,0.801,0.692,0.529,435
"8_9","mpnet-base","mpnet","base",0.99,25,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.99,25,2,0.69,0.713,0.701,0.54,342
"8_9","mpnet-base","mpnet","base",0.99,25,3,0.742,0.722,0.732,0.577,322
"8_9","mpnet-base","mpnet","base",0.99,25,4,0.609,0.801,0.692,0.529,435
"8_9","mpnet-base","mpnet","base",0.99,30,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.99,30,2,0.69,0.713,0.701,0.54,342
"8_9","mpnet-base","mpnet","base",0.99,30,3,0.742,0.722,0.732,0.577,322
"8_9","mpnet-base","mpnet","base",0.99,30,4,0.609,0.801,0.692,0.529,435
"8_9","mpnet-base","mpnet","base",0.995,3,1,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.995,3,2,0.698,0.713,0.705,0.545,338
"8_9","mpnet-base","mpnet","base",0.995,3,3,0.776,0.692,0.732,0.577,295
"8_9","mpnet-base","mpnet","base",0.995,3,4,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.995,5,1,0.621,0.801,0.7,0.538,427
"8_9","mpnet-base","mpnet","base",0.995,5,2,0.696,0.713,0.704,0.544,339
"8_9","mpnet-base","mpnet","base",0.995,5,3,0.77,0.707,0.737,0.584,304
"8_9","mpnet-base","mpnet","base",0.995,5,4,0.619,0.801,0.698,0.536,428
"8_9","mpnet-base","mpnet","base",0.995,10,1,0.616,0.801,0.696,0.534,430
"8_9","mpnet-base","mpnet","base",0.995,10,2,0.694,0.713,0.703,0.543,340
"8_9","mpnet-base","mpnet","base",0.995,10,3,0.758,0.719,0.738,0.585,314
"8_9","mpnet-base","mpnet","base",0.995,10,4,0.613,0.801,0.695,0.532,432
"8_9","mpnet-base","mpnet","base",0.995,15,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.995,15,2,0.694,0.713,0.703,0.543,340
"8_9","mpnet-base","mpnet","base",0.995,15,3,0.751,0.719,0.735,0.58,317
"8_9","mpnet-base","mpnet","base",0.995,15,4,0.612,0.801,0.694,0.531,433
"8_9","mpnet-base","mpnet","base",0.995,20,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.995,20,2,0.692,0.713,0.702,0.541,341
"8_9","mpnet-base","mpnet","base",0.995,20,3,0.749,0.722,0.735,0.582,319
"8_9","mpnet-base","mpnet","base",0.995,20,4,0.611,0.801,0.693,0.53,434
"8_9","mpnet-base","mpnet","base",0.995,25,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.995,25,2,0.692,0.713,0.702,0.541,341
"8_9","mpnet-base","mpnet","base",0.995,25,3,0.745,0.722,0.733,0.579,321
"8_9","mpnet-base","mpnet","base",0.995,25,4,0.611,0.801,0.693,0.53,434
"8_9","mpnet-base","mpnet","base",0.995,30,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.995,30,2,0.692,0.713,0.702,0.541,341
"8_9","mpnet-base","mpnet","base",0.995,30,3,0.745,0.722,0.733,0.579,321
"8_9","mpnet-base","mpnet","base",0.995,30,4,0.611,0.801,0.693,0.53,434
"8_9","mpnet-base","mpnet","base",0.999,3,1,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.999,3,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,3,3,0.776,0.692,0.732,0.577,295
"8_9","mpnet-base","mpnet","base",0.999,3,4,0.622,0.801,0.7,0.539,426
"8_9","mpnet-base","mpnet","base",0.999,5,1,0.621,0.801,0.7,0.538,427
"8_9","mpnet-base","mpnet","base",0.999,5,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,5,3,0.772,0.707,0.738,0.585,303
"8_9","mpnet-base","mpnet","base",0.999,5,4,0.621,0.801,0.7,0.538,427
"8_9","mpnet-base","mpnet","base",0.999,10,1,0.616,0.801,0.696,0.534,430
"8_9","mpnet-base","mpnet","base",0.999,10,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,10,3,0.763,0.719,0.74,0.588,312
"8_9","mpnet-base","mpnet","base",0.999,10,4,0.616,0.801,0.696,0.534,430
"8_9","mpnet-base","mpnet","base",0.999,15,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,15,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,15,3,0.756,0.719,0.737,0.583,315
"8_9","mpnet-base","mpnet","base",0.999,15,4,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,20,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,20,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,20,3,0.756,0.722,0.739,0.586,316
"8_9","mpnet-base","mpnet","base",0.999,20,4,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,25,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,25,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,25,3,0.752,0.722,0.737,0.583,318
"8_9","mpnet-base","mpnet","base",0.999,25,4,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,30,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base","mpnet","base",0.999,30,2,0.697,0.71,0.703,0.543,337
"8_9","mpnet-base","mpnet","base",0.999,30,3,0.752,0.722,0.737,0.583,318
"8_9","mpnet-base","mpnet","base",0.999,30,4,0.615,0.801,0.696,0.533,431
"10_9","mpnet-base-nocode","mpnet","base",0.95,3,1,0.728,0.407,0.522,0.353,523
"10_9","mpnet-base-nocode","mpnet","base",0.95,3,2,0.883,0.338,0.489,0.324,359
"10_9","mpnet-base-nocode","mpnet","base",0.95,3,3,0.686,0.256,0.373,0.229,350
"10_9","mpnet-base-nocode","mpnet","base",0.95,3,4,0.729,0.41,0.525,0.356,527
"10_9","mpnet-base-nocode","mpnet","base",0.95,5,1,0.724,0.415,0.528,0.359,537
"10_9","mpnet-base-nocode","mpnet","base",0.95,5,2,0.877,0.343,0.493,0.327,366
"10_9","mpnet-base-nocode","mpnet","base",0.95,5,3,0.69,0.285,0.403,0.253,387
"10_9","mpnet-base-nocode","mpnet","base",0.95,5,4,0.722,0.422,0.533,0.363,547
"10_9","mpnet-base-nocode","mpnet","base",0.95,10,1,0.721,0.416,0.528,0.358,541
"10_9","mpnet-base-nocode","mpnet","base",0.95,10,2,0.872,0.348,0.497,0.331,374
"10_9","mpnet-base-nocode","mpnet","base",0.95,10,3,0.703,0.323,0.443,0.285,431
"10_9","mpnet-base-nocode","mpnet","base",0.95,10,4,0.717,0.428,0.536,0.366,559
"10_9","mpnet-base-nocode","mpnet","base",0.95,15,1,0.721,0.416,0.528,0.358,541
"10_9","mpnet-base-nocode","mpnet","base",0.95,15,2,0.87,0.349,0.498,0.332,376
"10_9","mpnet-base-nocode","mpnet","base",0.95,15,3,0.708,0.339,0.458,0.298,449
"10_9","mpnet-base-nocode","mpnet","base",0.95,15,4,0.717,0.429,0.537,0.367,561
"10_9","mpnet-base-nocode","mpnet","base",0.95,20,1,0.721,0.419,0.53,0.361,545
"10_9","mpnet-base-nocode","mpnet","base",0.95,20,2,0.863,0.35,0.498,0.332,380
"10_9","mpnet-base-nocode","mpnet","base",0.95,20,3,0.707,0.35,0.468,0.306,464
"10_9","mpnet-base-nocode","mpnet","base",0.95,20,4,0.714,0.433,0.539,0.369,569
"10_9","mpnet-base-nocode","mpnet","base",0.95,25,1,0.722,0.42,0.531,0.362,546
"10_9","mpnet-base-nocode","mpnet","base",0.95,25,2,0.857,0.351,0.498,0.332,384
"10_9","mpnet-base-nocode","mpnet","base",0.95,25,3,0.704,0.355,0.472,0.309,473
"10_9","mpnet-base-nocode","mpnet","base",0.95,25,4,0.711,0.435,0.54,0.37,574
"10_9","mpnet-base-nocode","mpnet","base",0.95,30,1,0.722,0.42,0.531,0.362,546
"10_9","mpnet-base-nocode","mpnet","base",0.95,30,2,0.855,0.351,0.498,0.331,385
"10_9","mpnet-base-nocode","mpnet","base",0.95,30,3,0.704,0.36,0.476,0.312,479
"10_9","mpnet-base-nocode","mpnet","base",0.95,30,4,0.71,0.435,0.539,0.37,575
"10_9","mpnet-base-nocode","mpnet","base",0.99,3,1,0.731,0.407,0.523,0.354,521
"10_9","mpnet-base-nocode","mpnet","base",0.99,3,2,0.893,0.329,0.481,0.316,345
"10_9","mpnet-base-nocode","mpnet","base",0.99,3,3,0.685,0.253,0.37,0.227,346
"10_9","mpnet-base-nocode","mpnet","base",0.99,3,4,0.731,0.407,0.523,0.354,521
"10_9","mpnet-base-nocode","mpnet","base",0.99,5,1,0.727,0.415,0.528,0.359,535
"10_9","mpnet-base-nocode","mpnet","base",0.99,5,2,0.893,0.33,0.482,0.317,346
"10_9","mpnet-base-nocode","mpnet","base",0.99,5,3,0.693,0.28,0.399,0.249,378
"10_9","mpnet-base-nocode","mpnet","base",0.99,5,4,0.728,0.416,0.529,0.36,536
"10_9","mpnet-base-nocode","mpnet","base",0.99,10,1,0.724,0.416,0.528,0.359,539
"10_9","mpnet-base-nocode","mpnet","base",0.99,10,2,0.89,0.33,0.481,0.317,347
"10_9","mpnet-base-nocode","mpnet","base",0.99,10,3,0.706,0.313,0.434,0.277,415
"10_9","mpnet-base-nocode","mpnet","base",0.99,10,4,0.723,0.417,0.529,0.36,541
"10_9","mpnet-base-nocode","mpnet","base",0.99,15,1,0.724,0.416,0.528,0.359,539
"10_9","mpnet-base-nocode","mpnet","base",0.99,15,2,0.891,0.331,0.483,0.318,348
"10_9","mpnet-base-nocode","mpnet","base",0.99,15,3,0.713,0.329,0.45,0.29,432
"10_9","mpnet-base-nocode","mpnet","base",0.99,15,4,0.723,0.418,0.53,0.361,542
"10_9","mpnet-base-nocode","mpnet","base",0.99,20,1,0.724,0.419,0.531,0.362,543
"10_9","mpnet-base-nocode","mpnet","base",0.99,20,2,0.891,0.332,0.484,0.319,349
"10_9","mpnet-base-nocode","mpnet","base",0.99,20,3,0.716,0.339,0.46,0.299,444
"10_9","mpnet-base-nocode","mpnet","base",0.99,20,4,0.724,0.423,0.534,0.364,547
"10_9","mpnet-base-nocode","mpnet","base",0.99,25,1,0.724,0.42,0.532,0.362,544
"10_9","mpnet-base-nocode","mpnet","base",0.99,25,2,0.889,0.332,0.483,0.319,350
"10_9","mpnet-base-nocode","mpnet","base",0.99,25,3,0.716,0.344,0.465,0.302,450
"10_9","mpnet-base-nocode","mpnet","base",0.99,25,4,0.723,0.424,0.535,0.365,549
"10_9","mpnet-base-nocode","mpnet","base",0.99,30,1,0.724,0.42,0.532,0.362,544
"10_9","mpnet-base-nocode","mpnet","base",0.99,30,2,0.889,0.332,0.483,0.319,350
"10_9","mpnet-base-nocode","mpnet","base",0.99,30,3,0.716,0.348,0.468,0.306,455
"10_9","mpnet-base-nocode","mpnet","base",0.99,30,4,0.723,0.424,0.535,0.365,549
"10_9","mpnet-base-nocode","mpnet","base",0.995,3,1,0.733,0.407,0.523,0.354,520
"10_9","mpnet-base-nocode","mpnet","base",0.995,3,2,0.897,0.327,0.479,0.315,341
"10_9","mpnet-base-nocode","mpnet","base",0.995,3,3,0.685,0.253,0.37,0.227,346
"10_9","mpnet-base-nocode","mpnet","base",0.995,3,4,0.733,0.407,0.523,0.354,520
"10_9","mpnet-base-nocode","mpnet","base",0.995,5,1,0.728,0.415,0.529,0.36,534
"10_9","mpnet-base-nocode","mpnet","base",0.995,5,2,0.897,0.327,0.479,0.315,341
"10_9","mpnet-base-nocode","mpnet","base",0.995,5,3,0.692,0.279,0.398,0.248,377
"10_9","mpnet-base-nocode","mpnet","base",0.995,5,4,0.728,0.415,0.529,0.36,534
"10_9","mpnet-base-nocode","mpnet","base",0.995,10,1,0.725,0.416,0.529,0.359,538
"10_9","mpnet-base-nocode","mpnet","base",0.995,10,2,0.895,0.327,0.479,0.314,342
"10_9","mpnet-base-nocode","mpnet","base",0.995,10,3,0.705,0.312,0.433,0.276,414
"10_9","mpnet-base-nocode","mpnet","base",0.995,10,4,0.724,0.416,0.528,0.359,539
"10_9","mpnet-base-nocode","mpnet","base",0.995,15,1,0.725,0.416,0.529,0.359,538
"10_9","mpnet-base-nocode","mpnet","base",0.995,15,2,0.895,0.327,0.479,0.314,342
"10_9","mpnet-base-nocode","mpnet","base",0.995,15,3,0.712,0.327,0.448,0.288,430
"10_9","mpnet-base-nocode","mpnet","base",0.995,15,4,0.724,0.416,0.528,0.359,539
"10_9","mpnet-base-nocode","mpnet","base",0.995,20,1,0.725,0.419,0.531,0.362,542
"10_9","mpnet-base-nocode","mpnet","base",0.995,20,2,0.895,0.327,0.479,0.314,342
"10_9","mpnet-base-nocode","mpnet","base",0.995,20,3,0.714,0.336,0.457,0.296,441
"10_9","mpnet-base-nocode","mpnet","base",0.995,20,4,0.724,0.419,0.531,0.362,543
"10_9","mpnet-base-nocode","mpnet","base",0.995,25,1,0.726,0.42,0.532,0.363,543
"10_9","mpnet-base-nocode","mpnet","base",0.995,25,2,0.892,0.327,0.479,0.314,343
"10_9","mpnet-base-nocode","mpnet","base",0.995,25,3,0.714,0.34,0.461,0.3,447
"10_9","mpnet-base-nocode","mpnet","base",0.995,25,4,0.723,0.42,0.531,0.362,545
"10_9","mpnet-base-nocode","mpnet","base",0.995,30,1,0.726,0.42,0.532,0.363,543
"10_9","mpnet-base-nocode","mpnet","base",0.995,30,2,0.892,0.327,0.479,0.314,343
"10_9","mpnet-base-nocode","mpnet","base",0.995,30,3,0.715,0.345,0.465,0.303,452
"10_9","mpnet-base-nocode","mpnet","base",0.995,30,4,0.723,0.42,0.531,0.362,545
"10_9","mpnet-base-nocode","mpnet","base",0.999,3,1,0.732,0.404,0.521,0.352,518
"10_9","mpnet-base-nocode","mpnet","base",0.999,3,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,3,3,0.685,0.253,0.37,0.227,346
"10_9","mpnet-base-nocode","mpnet","base",0.999,3,4,0.732,0.404,0.521,0.352,518
"10_9","mpnet-base-nocode","mpnet","base",0.999,5,1,0.728,0.414,0.528,0.359,533
"10_9","mpnet-base-nocode","mpnet","base",0.999,5,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,5,3,0.692,0.279,0.398,0.248,377
"10_9","mpnet-base-nocode","mpnet","base",0.999,5,4,0.728,0.414,0.528,0.359,533
"10_9","mpnet-base-nocode","mpnet","base",0.999,10,1,0.724,0.415,0.528,0.359,537
"10_9","mpnet-base-nocode","mpnet","base",0.999,10,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,10,3,0.707,0.312,0.433,0.276,413
"10_9","mpnet-base-nocode","mpnet","base",0.999,10,4,0.724,0.415,0.528,0.359,537
"10_9","mpnet-base-nocode","mpnet","base",0.999,15,1,0.724,0.415,0.528,0.359,537
"10_9","mpnet-base-nocode","mpnet","base",0.999,15,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,15,3,0.713,0.327,0.448,0.289,429
"10_9","mpnet-base-nocode","mpnet","base",0.999,15,4,0.724,0.415,0.528,0.359,537
"10_9","mpnet-base-nocode","mpnet","base",0.999,20,1,0.725,0.418,0.53,0.361,541
"10_9","mpnet-base-nocode","mpnet","base",0.999,20,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,20,3,0.716,0.336,0.457,0.297,440
"10_9","mpnet-base-nocode","mpnet","base",0.999,20,4,0.725,0.418,0.53,0.361,541
"10_9","mpnet-base-nocode","mpnet","base",0.999,25,1,0.725,0.419,0.531,0.362,542
"10_9","mpnet-base-nocode","mpnet","base",0.999,25,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,25,3,0.717,0.34,0.461,0.3,445
"10_9","mpnet-base-nocode","mpnet","base",0.999,25,4,0.725,0.419,0.531,0.362,542
"10_9","mpnet-base-nocode","mpnet","base",0.999,30,1,0.725,0.419,0.531,0.362,542
"10_9","mpnet-base-nocode","mpnet","base",0.999,30,2,0.899,0.324,0.476,0.313,338
"10_9","mpnet-base-nocode","mpnet","base",0.999,30,3,0.718,0.345,0.466,0.304,450
"10_9","mpnet-base-nocode","mpnet","base",0.999,30,4,0.725,0.419,0.531,0.362,542
"8_9","mpnet-base-nocode","mpnet","base",0.95,3,1,0.615,0.801,0.696,0.533,431
"8_9","mpnet-base-nocode","mpnet","base",0.95,3,2,0.688,0.725,0.706,0.545,349
"8_9","mpnet-base-nocode","mpnet","base",0.95,3,3,0.771,0.701,0.734,0.58,301
"8_9","mpnet-base-nocode","mpnet","base",0.95,3,4,0.614,0.807,0.697,0.535,435
"8_9","mpnet-base-nocode","mpnet","base",0.95,5,1,0.613,0.801,0.695,0.532,432
"8_9","mpnet-base-nocode","mpnet","base",0.95,5,2,0.683,0.728,0.705,0.544,353
"8_9","mpnet-base-nocode","mpnet","base",0.95,5,3,0.765,0.716,0.74,0.587,310
"8_9","mpnet-base-nocode","mpnet","base",0.95,5,4,0.609,0.81,0.695,0.533,440
"8_9","mpnet-base-nocode","mpnet","base",0.95,10,1,0.609,0.801,0.692,0.529,435
"8_9","mpnet-base-nocode","mpnet","base",0.95,10,2,0.681,0.728,0.704,0.543,354
"8_9","mpnet-base-nocode","mpnet","base",0.95,10,3,0.751,0.728,0.739,0.586,321
"8_9","mpnet-base-nocode","mpnet","base",0.95,10,4,0.604,0.81,0.692,0.529,444
"8_9","mpnet-base-nocode","mpnet","base",0.95,15,1,0.608,0.801,0.691,0.528,436
"8_9","mpnet-base-nocode","mpnet","base",0.95,15,2,0.68,0.731,0.705,0.544,356
"8_9","mpnet-base-nocode","mpnet","base",0.95,15,3,0.741,0.734,0.737,0.584,328
"8_9","mpnet-base-nocode","mpnet","base",0.95,15,4,0.602,0.813,0.692,0.528,447
"8_9","mpnet-base-nocode","mpnet","base",0.95,20,1,0.608,0.801,0.691,0.528,436
"8_9","mpnet-base-nocode","mpnet","base",0.95,20,2,0.678,0.731,0.704,0.543,357
"8_9","mpnet-base-nocode","mpnet","base",0.95,20,3,0.735,0.737,0.736,0.582,332
"8_9","mpnet-base-nocode","mpnet","base",0.95,20,4,0.6,0.813,0.69,0.527,448
"8_9","mpnet-base-nocode","mpnet","base",0.95,25,1,0.608,0.801,0.691,0.528,436
"8_9","mpnet-base-nocode","mpnet","base",0.95,25,2,0.678,0.731,0.704,0.543,357
